#when lamba is 1000, there are 12 non-zero variables decision
SCIP> display solution

objective value:                     3957.03606457932
z                                    3486.91441788869 	(obj:1)
t#130                               -0.65113098520429 	(obj:0)
t#131                              -0.867901220197506 	(obj:0)
t#132                              -0.824257679772006 	(obj:0)
t#133                              -0.902319605737729 	(obj:0)
t#134                              -0.951672452277251 	(obj:0)
t#135                                -1.0489165041737 	(obj:0)
t#136                              -0.810421668406723 	(obj:0)
t#137                              -0.810421668406723 	(obj:0)
t#138                              -0.911445509514042 	(obj:0)
t#139                               -1.00653255684702 	(obj:0)
t#140                              -0.942529522711214 	(obj:0)
t#141                              -0.911445509514042 	(obj:0)
t#142                               -0.98449524201541 	(obj:0)
t#143                              -0.335240032890732 	(obj:0)
t#144                               -0.98449524201541 	(obj:0)
t#145                              -0.828985917051608 	(obj:0)
t#146                               -1.04783655841047 	(obj:0)
t#147                              -0.911445509514042 	(obj:0)
t#148                              -0.783621460117673 	(obj:0)
t#149                               -0.91109531249518 	(obj:0)
t#150                              -0.784872760895542 	(obj:0)
t#151                              -0.904654610976007 	(obj:0)
t#152                               -0.78382102131804 	(obj:0)
t#153                              -0.898397319240647 	(obj:0)
t#154                              -0.908632814812937 	(obj:0)
t#155                              -0.923188605820739 	(obj:0)
t#156                              -0.632041217275118 	(obj:0)
t#157                              -0.593233163062126 	(obj:0)
t#158                               -0.88156220559535 	(obj:0)
t#159                              -0.924911871890657 	(obj:0)
t#160                              -0.857616877778593 	(obj:0)
t#161                              -0.857693548628198 	(obj:0)
t#162                              -0.856644781027143 	(obj:0)
t#163                              -0.831844238527502 	(obj:0)
t#164                              -0.878573991398839 	(obj:0)
t#165                              -0.856644781027143 	(obj:0)
t#166                              -0.932094593789926 	(obj:0)
t#167                              -0.970211315777785 	(obj:0)
t#168                              -0.869576533987773 	(obj:0)
t#169                              -0.759086442789448 	(obj:0)
t#170                              -0.913492928451683 	(obj:0)
t#171                              -0.789239517172812 	(obj:0)
t#172                              -0.696878752187851 	(obj:0)
t#173                              -0.870826033557741 	(obj:0)
t#174                              -0.946422559782598 	(obj:0)
t#175                              -0.975913663893348 	(obj:0)
t#176                              -0.908220828399633 	(obj:0)
t#177                              -0.997615583499517 	(obj:0)
t#178                              -0.885886995643897 	(obj:0)
t#179                              -0.832433645322192 	(obj:0)
t#180                              -0.908220828399633 	(obj:0)
t#181                               -0.73788279355841 	(obj:0)
t#182                              -0.868973414385513 	(obj:0)
t#183                              -0.927597054246725 	(obj:0)
t#184                              -0.886187093990961 	(obj:0)
t#185                               -1.00821418427443 	(obj:0)
t#186                              -0.998593411314258 	(obj:0)
t#187                              -0.920462245345284 	(obj:0)
t#188                              -0.928732186412367 	(obj:0)
t#189                              -0.799264870138947 	(obj:0)
t#190                              -0.848346202852787 	(obj:0)
t#191                              -0.765938109234622 	(obj:0)
t#192                              -0.601810415330762 	(obj:0)
t#193                              -0.769341702556841 	(obj:0)
t#194                                 -0.767903404158 	(obj:0)
t#195                              -0.696878752187851 	(obj:0)
t#196                              -0.952398858123905 	(obj:0)
t#197                              -0.892497491888453 	(obj:0)
t#198                              -0.696878752187851 	(obj:0)
t#199                              -0.892877614133645 	(obj:0)
t#200                              -0.825150243747085 	(obj:0)
t#201                              -0.784834706454485 	(obj:0)
t#202                              -0.909460088731433 	(obj:0)
t#203                              -0.908916021480096 	(obj:0)
t#204                              -0.633503424181542 	(obj:0)
t#205                              -0.891753800398882 	(obj:0)
t#206                              -0.903197263648831 	(obj:0)
t#207                               -0.94699699400208 	(obj:0)
t#208                              -0.650459631887089 	(obj:0)
t#209                              -0.896134536090635 	(obj:0)
t#210                             -0.0611503414884965 	(obj:0)
t#211                              -0.857312122401982 	(obj:0)
t#212                              -0.756620733056251 	(obj:0)
t#213                              -0.485447287434641 	(obj:0)
t#214                              -0.892615717845491 	(obj:0)
t#215                              -0.957947498243119 	(obj:0)
t#216                              -0.789829488526264 	(obj:0)
t#217                              -0.874080350422606 	(obj:0)
t#218                              -0.874080350422606 	(obj:0)
t#219                              -0.492217723043907 	(obj:0)
t#220                              -0.895415943902345 	(obj:0)
t#221                              -0.856644781027143 	(obj:0)
t#222                               -0.89694672900157 	(obj:0)
t#223                              -0.669486456712641 	(obj:0)
t#224                              -0.765499223607173 	(obj:0)
t#225                              -0.760536784553514 	(obj:0)
t#226                              -0.761247784988749 	(obj:0)
t#227                              -0.705833003879686 	(obj:0)
t#228                              -0.892178911236587 	(obj:0)
t#229                              -0.941497651788577 	(obj:0)
t#230                              -0.643021675450655 	(obj:0)
t#231                              -0.862247892013017 	(obj:0)
t#232                              -0.903454519525408 	(obj:0)
t#233                              -0.741598508003272 	(obj:0)
t#234                              -0.967465536277207 	(obj:0)
t#235                              -0.169491647381654 	(obj:0)
t#236                              -0.949001847279545 	(obj:0)
t#237                              -0.949001847279545 	(obj:0)
t#238                              -0.627842477757587 	(obj:0)
t#239                              -0.850922771243497 	(obj:0)
t#240                               -0.87314499597563 	(obj:0)
t#241                              -0.797222612518707 	(obj:0)
t#242                              -0.826128568296432 	(obj:0)
t#243                              -0.849245325072996 	(obj:0)
t#244                               -1.01999660372527 	(obj:0)
t#245                              -0.760331174459145 	(obj:0)
t#246                              -0.662739230972363 	(obj:0)
t#247                              -0.849245325072996 	(obj:0)
t#248                              -0.749326631910466 	(obj:0)
t#249                              -0.894319618256176 	(obj:0)
t#250                              -0.908236874942388 	(obj:0)
t#251                               -1.42593523942603 	(obj:0)
t#252                              -0.881199621559921 	(obj:0)
t#253                              -0.713896248176603 	(obj:0)
t#254                              -0.753367977028844 	(obj:0)
t#255                              -0.756339562507844 	(obj:0)
t#256                              -0.822231297235264 	(obj:0)
t#257                               -0.66330529689309 	(obj:0)
t#258                              -0.771463908323585 	(obj:0)
t#259                               -0.73120815287107 	(obj:0)
t#260                              -0.789186820966996 	(obj:0)
t#261                               -0.73120815287107 	(obj:0)
t#262                              -0.908236874942388 	(obj:0)
t#263                              -0.895433332443428 	(obj:0)
t#264                              -0.748745033262672 	(obj:0)
t#265                              -0.873790106282362 	(obj:0)
t#266                               -0.86378737922074 	(obj:0)
t#267                              -0.733171741198755 	(obj:0)
t#268                              -0.894078816063404 	(obj:0)
t#269                              -0.755641956910343 	(obj:0)
t#270                               -0.86378737922074 	(obj:0)
t#271                               -0.86378737922074 	(obj:0)
t#272                              -0.978916417564119 	(obj:0)
t#273                              -0.929849280339058 	(obj:0)
t#274                               -1.05239555694292 	(obj:0)
t#275                              -0.850341934104399 	(obj:0)
t#276                              -0.894195360601412 	(obj:0)
t#277                              -0.894195834641761 	(obj:0)
t#278                              -0.850341934104399 	(obj:0)
t#279                              -0.768290484882406 	(obj:0)
t#280                              -0.850341934104399 	(obj:0)
t#281                              -0.732473452092607 	(obj:0)
t#282                              -0.793240956123193 	(obj:0)
t#283                              -0.753343730161997 	(obj:0)
t#284                              -0.737488780995588 	(obj:0)
t#285                              -0.780233263435751 	(obj:0)
t#286                              -0.800307324466955 	(obj:0)
t#287                              -0.953407962331217 	(obj:0)
t#288                              -0.897757909192255 	(obj:0)
t#289                              -0.875756405324004 	(obj:0)
t#290                              -0.687735272105404 	(obj:0)
t#291                              -0.538522618949298 	(obj:0)
t#292                              -0.648025531555532 	(obj:0)
t#293                               -0.72508199103439 	(obj:0)
t#294                              -0.828606475407289 	(obj:0)
t#295                              -0.965900420180045 	(obj:0)
t#296                               -0.85794137368641 	(obj:0)
t#297                              -0.779640307488364 	(obj:0)
t#298                              -0.542924310796648 	(obj:0)
t#299                              -0.690748996964106 	(obj:0)
t#300                               -0.95440773547516 	(obj:0)
t#301                              -0.766586420570737 	(obj:0)
t#302                              -0.901077528056121 	(obj:0)
t#303                               -0.95551020633587 	(obj:0)
t#304                              -0.740030748165812 	(obj:0)
t#305                              -0.760331174459145 	(obj:0)
t#306                              -0.785534776020836 	(obj:0)
t#307                              -0.979396612208457 	(obj:0)
t#308                              -0.780233263435751 	(obj:0)
t#309                              -0.910885054047098 	(obj:0)
t#310                              -0.885311532254171 	(obj:0)
t#311                              -0.897345234629323 	(obj:0)
t#312                              -0.870746365713224 	(obj:0)
t#313                              -0.769980966802787 	(obj:0)
t#314                              -0.880022006867354 	(obj:0)
t#315                              -0.895309024413489 	(obj:0)
t#316                               -1.03042554194188 	(obj:0)
t#317                              -0.974267789839904 	(obj:0)
t#318                              -0.644874610198306 	(obj:0)
t#319                              -0.950663627475972 	(obj:0)
t#320                               -0.95440773547516 	(obj:0)
t#321                              -0.761042174894379 	(obj:0)
t#322                              -0.959784062789093 	(obj:0)
t#323                              -0.833726092090658 	(obj:0)
t#324                              -0.995661875914888 	(obj:0)
t#325                              -0.959784062789093 	(obj:0)
t#326                              -0.995661875914888 	(obj:0)
t#327                              -0.793864669419324 	(obj:0)
t#328                              -0.706144377357686 	(obj:0)
t#329                              -0.840982948590961 	(obj:0)
t#330                              -0.822414384316148 	(obj:0)
t#331                               -1.03396283805151 	(obj:0)
t#332                              -0.644767098487964 	(obj:0)
t#333                               -0.71918465244098 	(obj:0)
t#334                              -0.991392628443667 	(obj:0)
t#335                              -0.920348684332372 	(obj:0)
t#336                              -0.830649323068183 	(obj:0)
t#337                               -0.77658798192363 	(obj:0)
t#338                              -0.940373075856676 	(obj:0)
t#339                               -0.71918465244098 	(obj:0)
t#340                              -0.989970610297453 	(obj:0)
t#341                              -0.761042174894379 	(obj:0)
t#342                              -0.649060863195397 	(obj:0)
t#343                               -0.71918465244098 	(obj:0)
t#344                              -0.787185215353845 	(obj:0)
t#345                              -0.755723377328362 	(obj:0)
t#346                               0.291024315421438 	(obj:0)
t#347                              -0.940373075856676 	(obj:0)
t#348                              -0.797802305812247 	(obj:0)
t#349                               -0.77658798192363 	(obj:0)
t#350                              -0.940373075856676 	(obj:0)
t#351                              -0.830649323068183 	(obj:0)
t#352                               -1.24528507884823 	(obj:0)
t#353                               -0.71918465244098 	(obj:0)
t#354                              -0.761042174894379 	(obj:0)
t#355                              -0.880147967708371 	(obj:0)
t#356                              -0.644767098487964 	(obj:0)
t#357                               -0.92590899421557 	(obj:0)
t#358                               -0.81252718315914 	(obj:0)
t#359                              -0.749361533385088 	(obj:0)
t#360                               -0.34807673297761 	(obj:0)
t#361                              -0.999222069610606 	(obj:0)
t#362                              -0.855863540901116 	(obj:0)
t#363                              -0.846695119024227 	(obj:0)
t#364                              -0.761042174894379 	(obj:0)
t#365                              -0.998719142973527 	(obj:0)
t#366                              -0.846695119024227 	(obj:0)
t#367                              -0.845987891468136 	(obj:0)
t#368                              -0.814117038787263 	(obj:0)
t#369                              -0.779640307488364 	(obj:0)
t#370                              -0.967454876228985 	(obj:0)
t#371                               -0.34807673297761 	(obj:0)
t#372                               -1.01044626407041 	(obj:0)
t#373                                0.38514842801264 	(obj:0)
t#374                              -0.974232591943993 	(obj:0)
t#375                              -0.715365446811985 	(obj:0)
t#376                              -0.977549557401472 	(obj:0)
t#377                              -0.582272020196778 	(obj:0)
t#378                              -0.795992970628428 	(obj:0)
t#379                              -0.813230058319009 	(obj:0)
t#380                              -0.644874610198306 	(obj:0)
t#381                              -0.841377194007852 	(obj:0)
t#382                              -0.954229546151307 	(obj:0)
t#383                              -0.496331333188716 	(obj:0)
t#384                              -0.916804242311537 	(obj:0)
t#385                               -0.76648320822331 	(obj:0)
t#386                              -0.875991735694268 	(obj:0)
t#387                              -0.875110067102584 	(obj:0)
t#388                              -0.784426109664995 	(obj:0)
t#389                              -0.740009727356025 	(obj:0)
t#390                              -0.450826189986694 	(obj:0)
t#391                              -0.911726359748332 	(obj:0)
t#392                              -0.990355801304117 	(obj:0)
t#393                              -0.808045821552478 	(obj:0)
t#394                              -0.907594629547906 	(obj:0)
t#395                              -0.783040884186425 	(obj:0)
t#396                               -1.03771142057574 	(obj:0)
t#397                              -0.875034263510666 	(obj:0)
t#398                               -0.86163551587816 	(obj:0)
t#399                              -0.787577387943653 	(obj:0)
t#400                              -0.979595855906012 	(obj:0)
t#401                              -0.792122182269011 	(obj:0)
t#402                              -0.894776627563812 	(obj:0)
t#403                              -0.917949335921479 	(obj:0)
t#404                              -0.858474237443006 	(obj:0)
t#405                              -0.711188591205982 	(obj:0)
t#406                              -0.739884855128308 	(obj:0)
t#407                              -0.681643035087929 	(obj:0)
t#408                               -0.46959293998084 	(obj:0)
t#409                              -0.945083079792709 	(obj:0)
t#410                                -0.9496492450907 	(obj:0)
t#411                              -0.495703419733047 	(obj:0)
t#412                              -0.722978902205838 	(obj:0)
t#413                              -0.880221991520519 	(obj:0)
t#414                              -0.871246128866417 	(obj:0)
t#415                              -0.682802005219043 	(obj:0)
t#416                              -0.789047338097533 	(obj:0)
t#417                              -0.660183028120644 	(obj:0)
t#418                              -0.697395399773024 	(obj:0)
t#419                              -0.687753491983536 	(obj:0)
t#420                              -0.275562722834208 	(obj:0)
t#421                              -0.812282863834539 	(obj:0)
t#422                              -0.825200323861955 	(obj:0)
t#423                              -0.759985422785266 	(obj:0)
t#424                              -0.952845714270314 	(obj:0)
t#425                              -0.421987531713594 	(obj:0)
t#426                              -0.825200323861955 	(obj:0)
t#427                                -1.0153413951824 	(obj:0)
t#428                              -0.703306656500523 	(obj:0)
t#429                              -0.739810203710131 	(obj:0)
t#430                              -0.613182552478548 	(obj:0)
t#431                              -0.858728837077953 	(obj:0)
t#432                               -1.02159664357815 	(obj:0)
t#433                              -0.858728837077953 	(obj:0)
t#434                              -0.868732525372784 	(obj:0)
t#435                               -0.57883752945733 	(obj:0)
t#436                              -0.840872605803104 	(obj:0)
t#437                              -0.972294881894241 	(obj:0)
t#438                              -0.936381732376067 	(obj:0)
t#439                              -0.804644667298653 	(obj:0)
t#440                              -0.730377223611464 	(obj:0)
t#441                               -1.04304440897204 	(obj:0)
t#442                               -0.85911924589118 	(obj:0)
t#443                             -0.0197007847768516 	(obj:0)
t#444                              -0.990015146331881 	(obj:0)
t#445                              -0.964972494502384 	(obj:0)
t#446                              -0.870161206617161 	(obj:0)
t#447                                -0.7675982949265 	(obj:0)
t#448                              -0.823380992012229 	(obj:0)
t#449                              -0.905200189088334 	(obj:0)
t#450                              -0.905200189088334 	(obj:0)
t#451                              -0.674774325616154 	(obj:0)
t#452                              -0.937892968462656 	(obj:0)
t#453                              -0.806862806404215 	(obj:0)
t#454                              -0.284976551729694 	(obj:0)
t#455                               -0.61710112137804 	(obj:0)
t#456                              -0.939210100229931 	(obj:0)
t#457                              -0.914639111450859 	(obj:0)
t#458                               -1.04884899416749 	(obj:0)
t#459                              -0.885010522173304 	(obj:0)
t#460                              -0.886654606138436 	(obj:0)
t#461                               -1.00719015936859 	(obj:0)
t#462                              -0.896932386452194 	(obj:0)
t#463                              -0.943983599602551 	(obj:0)
t#464                                 -1.043603381852 	(obj:0)
t#465                              -0.889149275000701 	(obj:0)
t#466                               -0.65375705853184 	(obj:0)
t#467                               -1.04500778318175 	(obj:0)
t#468                              -0.721920049594193 	(obj:0)
t#469                              -0.992753847626204 	(obj:0)
t#470                              -0.995672712743241 	(obj:0)
t#471                              -0.995672712743241 	(obj:0)
t#472                              -0.992753847626204 	(obj:0)
t#473                              -0.824228342800476 	(obj:0)
t#474                              -0.715709230307221 	(obj:0)
t#475                              -0.773143477600986 	(obj:0)
t#476                               -1.03941900539639 	(obj:0)
t#477                              -0.991668802569088 	(obj:0)
t#478                               -1.03941900539639 	(obj:0)
t#479                               -1.03811542347602 	(obj:0)
t#480                              -0.978772870548699 	(obj:0)
t#481                              -0.864436360832832 	(obj:0)
t#482                              -0.999222069610606 	(obj:0)
t#483                               -0.96325463442224 	(obj:0)
t#484                              -0.777500770250742 	(obj:0)
t#485                              -0.445764407046491 	(obj:0)
t#486                              -0.517831003766363 	(obj:0)
t#487                              -0.444258647674436 	(obj:0)
t#488                              -0.755324444559392 	(obj:0)
t#489                              -0.495703419733047 	(obj:0)
t#490                              -0.988376029568437 	(obj:0)
t#491                              -0.917257470820845 	(obj:0)
t#492                              -0.535215498025644 	(obj:0)
t#493                              -0.444258647674436 	(obj:0)
t#494                              -0.887484044318981 	(obj:0)
t#495                              -0.780508510428113 	(obj:0)
t#496                               -1.04952131471606 	(obj:0)
t#497                              -0.991434699767923 	(obj:0)
